,station,day,time,mean
0,7.0,0.0,0.0,12.0
1,7.0,0.0,30.0,13.0
2,7.0,0.0,100.0,12.0
3,7.0,0.0,130.0,12.0
4,7.0,0.0,200.0,12.0
5,7.0,0.0,230.0,12.0
6,7.0,0.0,300.0,12.0
7,7.0,0.0,330.0,12.0
8,7.0,0.0,400.0,12.0
9,7.0,0.0,430.0,13.0
10,7.0,0.0,500.0,11.0
11,7.0,0.0,530.0,11.0
12,7.0,0.0,600.0,11.0
13,7.0,0.0,630.0,11.0
14,7.0,0.0,700.0,9.0
15,7.0,0.0,730.0,6.0
16,7.0,0.0,800.0,3.0
17,7.0,0.0,830.0,2.0
18,7.0,0.0,900.0,1.0
19,7.0,0.0,930.0,1.0
20,7.0,0.0,1000.0,0.0
21,7.0,0.0,1030.0,0.0
22,7.0,0.0,1100.0,0.0
23,7.0,0.0,1130.0,0.0
24,7.0,0.0,1200.0,0.0
25,7.0,0.0,1230.0,0.0
26,7.0,0.0,1300.0,4.0
27,7.0,0.0,1330.0,4.0
28,7.0,0.0,1400.0,6.0
29,7.0,0.0,1430.0,7.0
30,7.0,0.0,1500.0,6.0
31,7.0,0.0,1530.0,6.0
32,7.0,0.0,1600.0,6.0
33,7.0,0.0,1630.0,5.0
34,7.0,0.0,1700.0,6.0
35,7.0,0.0,1730.0,8.0
36,7.0,0.0,1800.0,8.0
37,7.0,0.0,1830.0,11.0
38,7.0,0.0,1900.0,12.0
39,7.0,0.0,1930.0,11.0
40,7.0,0.0,2000.0,9.0
41,7.0,0.0,2030.0,13.0
42,7.0,0.0,2100.0,12.0
43,7.0,0.0,2130.0,10.0
44,7.0,0.0,2200.0,10.0
45,7.0,0.0,2230.0,9.0
46,7.0,0.0,2300.0,10.0
47,7.0,0.0,2330.0,10.0
48,7.0,1.0,0.0,3.0
49,7.0,1.0,30.0,7.0
50,7.0,1.0,100.0,6.0
51,7.0,1.0,130.0,6.0
52,7.0,1.0,200.0,6.0
53,7.0,1.0,230.0,7.0
54,7.0,1.0,300.0,6.0
55,7.0,1.0,330.0,6.0
56,7.0,1.0,400.0,6.0
57,7.0,1.0,430.0,6.0
58,7.0,1.0,500.0,6.0
59,7.0,1.0,530.0,6.0
60,7.0,1.0,600.0,6.0
61,7.0,1.0,630.0,5.0
62,7.0,1.0,700.0,5.0
63,7.0,1.0,730.0,5.0
64,7.0,1.0,800.0,4.0
65,7.0,1.0,830.0,2.0
66,7.0,1.0,900.0,1.0
67,7.0,1.0,930.0,0.0
68,7.0,1.0,1000.0,0.0
69,7.0,1.0,1030.0,1.0
70,7.0,1.0,1100.0,1.0
71,7.0,1.0,1130.0,1.0
72,7.0,1.0,1200.0,5.0
73,7.0,1.0,1230.0,4.0
74,7.0,1.0,1300.0,5.0
75,7.0,1.0,1330.0,3.0
76,7.0,1.0,1400.0,2.0
77,7.0,1.0,1430.0,2.0
78,7.0,1.0,1500.0,2.0
79,7.0,1.0,1530.0,3.0
80,7.0,1.0,1600.0,2.0
81,7.0,1.0,1630.0,2.0
82,7.0,1.0,1700.0,3.0
83,7.0,1.0,1730.0,4.0
84,7.0,1.0,1800.0,4.0
85,7.0,1.0,1830.0,7.0
86,7.0,1.0,1900.0,9.0
87,7.0,1.0,1930.0,7.0
88,7.0,1.0,2000.0,7.0
89,7.0,1.0,2030.0,7.0
90,7.0,1.0,2100.0,7.0
91,7.0,1.0,2130.0,7.0
92,7.0,1.0,2200.0,8.0
93,7.0,1.0,2230.0,7.0
94,7.0,1.0,2300.0,5.0
95,7.0,1.0,2330.0,3.0
96,7.0,2.0,0.0,5.0
97,7.0,2.0,30.0,2.0
98,7.0,2.0,100.0,2.0
99,7.0,2.0,130.0,2.0
100,7.0,2.0,200.0,2.0
101,7.0,2.0,230.0,2.0
102,7.0,2.0,300.0,2.0
103,7.0,2.0,330.0,2.0
104,7.0,2.0,400.0,2.0
105,7.0,2.0,430.0,2.0
106,7.0,2.0,500.0,2.0
107,7.0,2.0,530.0,7.0
108,7.0,2.0,600.0,14.0
109,7.0,2.0,630.0,12.0
110,7.0,2.0,700.0,10.0
111,7.0,2.0,730.0,7.0
112,7.0,2.0,800.0,2.0
113,7.0,2.0,830.0,1.0
114,7.0,2.0,900.0,1.0
115,7.0,2.0,930.0,0.0
116,7.0,2.0,1000.0,0.0
117,7.0,2.0,1030.0,0.0
118,7.0,2.0,1100.0,1.0
119,7.0,2.0,1130.0,1.0
120,7.0,2.0,1200.0,0.0
121,7.0,2.0,1230.0,0.0
122,7.0,2.0,1300.0,1.0
123,7.0,2.0,1330.0,1.0
124,7.0,2.0,1400.0,3.0
125,7.0,2.0,1430.0,4.0
126,7.0,2.0,1500.0,7.0
127,7.0,2.0,1530.0,7.0
128,7.0,2.0,1600.0,8.0
129,7.0,2.0,1630.0,6.0
130,7.0,2.0,1700.0,6.0
131,7.0,2.0,1730.0,4.0
132,7.0,2.0,1800.0,2.0
133,7.0,2.0,1830.0,5.0
134,7.0,2.0,1900.0,5.0
135,7.0,2.0,1930.0,4.0
136,7.0,2.0,2000.0,5.0
137,7.0,2.0,2030.0,6.0
138,7.0,2.0,2100.0,10.0
139,7.0,2.0,2130.0,10.0
140,7.0,2.0,2200.0,11.0
141,7.0,2.0,2230.0,9.0
142,7.0,2.0,2300.0,10.0
143,7.0,2.0,2330.0,10.0
144,7.0,3.0,0.0,12.0
145,7.0,3.0,30.0,10.0
146,7.0,3.0,100.0,10.0
147,7.0,3.0,130.0,12.0
148,7.0,3.0,200.0,10.0
149,7.0,3.0,230.0,9.0
150,7.0,3.0,300.0,10.0
151,7.0,3.0,330.0,10.0
152,7.0,3.0,400.0,11.0
153,7.0,3.0,430.0,10.0
154,7.0,3.0,500.0,9.0
155,7.0,3.0,530.0,9.0
156,7.0,3.0,600.0,9.0
157,7.0,3.0,630.0,8.0
158,7.0,3.0,700.0,4.0
159,7.0,3.0,730.0,4.0
160,7.0,3.0,800.0,3.0
161,7.0,3.0,830.0,2.0
162,7.0,3.0,900.0,0.0
163,7.0,3.0,930.0,1.0
164,7.0,3.0,1000.0,1.0
165,7.0,3.0,1030.0,0.0
166,7.0,3.0,1100.0,0.0
167,7.0,3.0,1130.0,0.0
168,7.0,3.0,1200.0,0.0
169,7.0,3.0,1230.0,0.0
170,7.0,3.0,1300.0,1.0
171,7.0,3.0,1330.0,2.0
172,7.0,3.0,1400.0,2.0
173,7.0,3.0,1430.0,2.0
174,7.0,3.0,1500.0,2.0
175,7.0,3.0,1530.0,1.0
176,7.0,3.0,1600.0,2.0
177,7.0,3.0,1630.0,6.0
178,7.0,3.0,1700.0,10.0
179,7.0,3.0,1730.0,9.0
180,7.0,3.0,1800.0,11.0
181,7.0,3.0,1830.0,15.0
182,7.0,3.0,1900.0,15.0
183,7.0,3.0,1930.0,16.0
184,7.0,3.0,2000.0,16.0
185,7.0,3.0,2030.0,15.0
186,7.0,3.0,2100.0,16.0
187,7.0,3.0,2130.0,16.0
188,7.0,3.0,2200.0,14.0
189,7.0,3.0,2230.0,15.0
190,7.0,3.0,2300.0,13.0
191,7.0,3.0,2330.0,12.0
192,7.0,4.0,0.0,13.0
193,7.0,4.0,30.0,12.0
194,7.0,4.0,100.0,12.0
195,7.0,4.0,130.0,12.0
196,7.0,4.0,200.0,12.0
197,7.0,4.0,230.0,11.0
198,7.0,4.0,300.0,12.0
199,7.0,4.0,330.0,12.0
200,7.0,4.0,400.0,12.0
201,7.0,4.0,430.0,11.0
202,7.0,4.0,500.0,11.0
203,7.0,4.0,530.0,10.0
204,7.0,4.0,600.0,8.0
205,7.0,4.0,630.0,8.0
206,7.0,4.0,700.0,5.0
207,7.0,4.0,730.0,4.0
208,7.0,4.0,800.0,3.0
209,7.0,4.0,830.0,1.0
210,7.0,4.0,900.0,0.0
211,7.0,4.0,930.0,0.0
212,7.0,4.0,1000.0,1.0
213,7.0,4.0,1030.0,1.0
214,7.0,4.0,1100.0,0.0
215,7.0,4.0,1130.0,1.0
216,7.0,4.0,1200.0,6.0
217,7.0,4.0,1230.0,6.0
218,7.0,4.0,1300.0,3.0
219,7.0,4.0,1330.0,3.0
220,7.0,4.0,1400.0,2.0
221,7.0,4.0,1430.0,7.0
222,7.0,4.0,1500.0,9.0
223,7.0,4.0,1530.0,8.0
224,7.0,4.0,1600.0,10.0
225,7.0,4.0,1630.0,8.0
226,7.0,4.0,1700.0,7.0
227,7.0,4.0,1730.0,7.0
228,7.0,4.0,1800.0,9.0
229,7.0,4.0,1830.0,13.0
230,7.0,4.0,1900.0,15.0
231,7.0,4.0,1930.0,14.0
232,7.0,4.0,2000.0,14.0
233,7.0,4.0,2030.0,12.0
234,7.0,4.0,2100.0,12.0
235,7.0,4.0,2130.0,11.0
236,7.0,4.0,2200.0,11.0
237,7.0,4.0,2230.0,13.0
238,7.0,4.0,2300.0,14.0
239,7.0,4.0,2330.0,12.0
240,7.0,5.0,0.0,13.0
241,7.0,5.0,30.0,12.0
242,7.0,5.0,100.0,12.0
243,7.0,5.0,130.0,12.0
244,7.0,5.0,200.0,12.0
245,7.0,5.0,230.0,12.0
246,7.0,5.0,300.0,12.0
247,7.0,5.0,330.0,12.0
248,7.0,5.0,400.0,12.0
249,7.0,5.0,430.0,12.0
250,7.0,5.0,500.0,11.0
251,7.0,5.0,530.0,11.0
